Id,Prediction
0,1
1,1
2,1
3,0
4,1
5,1
6,0
7,1
8,1
9,1
10,0
11,0
12,1
13,1
14,1
15,0
16,1
17,0
18,0
19,0
20,1
21,1
22,1
23,0
24,0
25,1
26,0
27,1
28,1
29,1
30,1
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,1
40,1
41,1
42,0
43,1
44,1
45,0
46,0
47,1
48,0
49,0
50,0
51,1
52,0
53,1
54,0
55,1
56,1
57,0
58,0
59,1
60,1
61,0
62,1
63,1
64,0
65,0
66,1
67,1
68,1
69,1
70,0
71,1
72,1
73,1
74,1
75,0
76,0
77,0
78,0
79,0
80,1
81,1
82,0
83,1
84,0
85,1
86,1
87,1
88,0
89,1
90,1
91,1
92,0
93,0
94,0
95,0
96,1
97,0
98,1
99,0
100,0
101,1
102,0
103,1
104,0
105,1
106,1
107,0
108,0
109,0
110,1
111,1
112,1
113,1
114,0
115,0
116,0
117,1
118,0
119,0
120,0
121,0
122,0
123,1
124,1
125,0
126,1
127,0
128,0
129,1
130,0
131,0
132,0
133,1
134,0
135,1
136,1
137,1
138,1
139,0
140,0
141,0
142,1
143,0
144,1
145,1
146,1
147,1
148,0
149,1
150,0
151,0
152,1
153,0
154,0
155,0
156,0
157,0
158,0
159,1
160,0
161,1
162,0
163,0
164,1
165,1
166,0
167,1
168,1
169,0
170,0
171,0
172,0
173,1
174,0
175,0
176,1
177,0
178,0
179,1
180,0
181,0
182,1
183,0
184,0
185,1
186,1
187,1
188,1
189,0
190,1
191,1
192,1
193,1
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,1
202,1
203,0
204,1
205,0
206,1
207,0
208,0
209,1
210,0
211,0
212,1
213,0
214,0
215,0
216,1
217,0
218,1
219,0
220,1
221,0
222,0
223,1
224,0
225,0
226,0
227,0
228,1
229,1
230,1
231,0
232,0
233,1
234,0
235,1
236,0
237,1
238,1
239,0
240,1
241,1
242,0
243,1
244,1
245,0
246,1
247,0
248,1
249,0
250,1
251,0
252,0
253,1
254,1
255,1
256,1
257,0
258,1
259,1
260,1
261,1
262,0
263,0
264,0
265,0
266,1
267,1
268,0
269,1
270,0
271,0
272,0
273,0
274,0
275,0
276,1
277,1
278,0
279,1
280,1
281,0
282,1
283,1
284,1
285,0
286,1
287,1
288,1
289,0
290,0
291,1
292,1
293,0
294,0
295,1
296,1
297,0
298,1
299,0
300,1
301,1
302,1
303,0
304,1
305,1
306,1
307,0
308,0
309,0
310,1
311,0
312,0
313,0
314,1
315,0
316,1
317,1
318,1
319,1
320,0
321,0
322,0
323,0
324,0
325,1
326,0
327,1
328,1
329,1
330,1
331,1
332,0
333,0
334,1
335,1
336,1
337,1
338,0
339,1
340,1
341,0
342,1
343,1
344,0
345,0
346,0
347,1
348,0
349,0
350,0
351,0
352,1
353,0
354,1
355,1
356,1
357,1
358,1
359,0
360,1
361,0
362,0
363,1
364,1
365,0
366,1
367,0
368,1
369,1
370,1
371,1
372,1
373,1
374,0
375,1
376,1
377,0
378,1
379,1
380,1
381,1
382,0
383,1
384,0
385,1
386,1
387,0
388,0
389,0
390,0
391,0
392,0
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,0
402,1
403,1
404,0
405,1
406,1
407,1
408,0
409,1
410,0
411,1
412,1
413,0
414,0
415,1
416,1
417,1
418,0
419,1
420,0
421,0
422,0
423,0
424,0
425,1
426,0
427,1
428,0
429,1
430,0
431,1
432,0
433,0
434,0
435,0
436,1
437,1
438,0
439,0
440,0
441,1
442,0
443,1
444,0
445,1
446,0
447,0
448,0
449,1
450,1
451,1
452,1
453,1
454,0
455,1
456,0
457,0
458,1
459,1
460,0
461,1
462,1
463,0
464,1
465,1
466,1
467,0
468,0
469,0
470,0
471,1
472,0
473,0
474,0
475,1
476,1
477,1
478,1
479,0
480,1
481,0
482,0
483,0
484,0
485,1
486,0
487,0
488,1
489,1
490,0
491,0
492,1
493,1
494,1
495,0
496,0
497,1
498,0
499,1
500,0
501,1
502,0
503,1
504,0
505,1
506,0
507,1
508,0
509,0
510,1
511,1
512,0
513,1
514,0
515,0
516,1
517,0
518,1
519,0
520,1
521,0
522,0
523,0
524,0
525,1
526,0
527,1
528,1
529,1
530,0
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,0
539,1
540,0
541,0
542,1
543,0
544,1
545,0
546,1
547,1
548,0
549,1
550,0
551,0
552,0
553,0
554,0
555,1
556,1
557,0
558,1
559,0
560,1
561,0
562,1
563,0
564,1
565,0
566,0
567,0
568,1
569,1
570,0
571,0
572,1
573,0
574,1
575,1
576,0
577,0
578,0
579,0
580,1
581,1
582,1
583,1
584,0
585,1
586,0
587,1
588,0
589,1
590,0
591,0
592,1
593,0
594,0
595,1
596,0
597,0
598,0
599,1
600,0
601,1
602,1
603,0
604,0
605,1
606,1
607,1
608,0
609,0
610,0
611,0
612,0
613,1
614,1
615,0
616,0
617,1
618,1
619,0
620,1
621,1
622,0
623,1
624,0
625,1
626,1
627,0
628,1
629,0
630,0
631,1
632,0
633,0
634,1
635,1
636,1
637,1
638,1
639,1
640,1
641,1
642,1
643,1
644,0
645,1
646,0
647,0
648,1
649,0
650,1
651,0
652,0
653,0
654,1
655,1
656,0
657,1
658,0
659,1
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,1
669,1
670,0
671,1
672,1
673,0
674,0
675,0
676,1
677,1
678,1
679,0
680,0
681,0
682,1
683,1
684,0
685,0
686,0
687,1
688,1
689,0
690,0
691,1
692,0
693,1
694,0
695,1
696,0
697,0
698,0
699,1
700,0
701,1
702,0
703,0
704,1
705,1
706,0
707,1
708,0
709,0
710,0
711,0
712,0
713,1
714,0
715,1
716,0
717,0
718,1
719,0
720,0
721,0
722,1
723,0
724,0
725,0
726,0
727,0
728,1
729,1
730,1
731,0
732,1
733,1
734,0
735,1
736,1
737,0
738,0
739,1
740,0
741,0
742,0
743,1
744,0
745,1
746,1
747,1
748,0
749,0
750,1
751,1
752,0
753,0
754,0
755,0
756,1
757,0
758,0
759,1
760,1
761,0
762,1
763,0
764,1
765,1
766,1
767,1
768,0
769,0
770,1
771,1
772,0
773,1
774,1
775,0
776,1
777,1
778,1
779,1
780,0
781,0
782,1
783,1
784,0
785,1
786,1
787,0
788,1
789,1
790,0
791,0
792,0
793,1
794,0
795,1
796,1
797,0
798,0
799,0
800,0
801,1
802,0
803,0
804,0
805,1
806,1
807,0
808,1
809,0
810,1
811,0
